Sample,Cache (cycles),DRAM (cycles)
880,56,367
881,57,370
882,57,370
883,55,366
884,53,372
885,57,366
886,55,372
887,58,1094
888,53,374
889,56,368
890,57,366
891,55,364
892,53,366
893,57,368
894,57,368
895,55,372
896,54,366
897,51,972
898,55,374
899,55,373
900,59,368
901,55,366
902,57,370
903,57,370
904,55,368
905,55,368
906,58,366
907,57,1090
908,51,370
909,53,366
910,57,366
911,55,370
912,55,369
913,56,367
914,53,370
915,53,364
916,53,370
917,55,977
918,53,370
919,55,364
920,59,368
921,55,372
922,57,370
923,57,370
924,55,374
925,58,372
926,55,370
927,57,1096
928,54,370
929,57,372
930,57,366
931,55,366
932,55,368
933,57,368
934,57,368
935,57,369
936,56,372
937,55,976
938,55,372
939,55,370
940,57,372
941,57,372
942,57,369
943,55,372
944,57,364
945,57,368
946,57,370
947,57,1099
948,59,368
949,55,370
950,55,368
951,55,368
952,57,370
953,57,371
954,56,374
955,51,368
956,51,368
957,53,978
958,58,366
959,55,366
960,53,368
961,57,368
962,57,364
963,57,367
964,57,369
965,59,366
966,55,370
967,57,1116
968,56,364
969,55,364
970,55,368
971,57,366
972,57,367
973,59,363
974,55,366
975,57,370
976,55,368
977,53,996
978,56,368
979,56,372
980,59,368
981,55,370
982,57,368
983,55,370
984,56,371
985,57,370
986,57,366
987,55,1093
988,55,372
989,55,368
990,55,370
991,55,368
992,57,369
993,54,368
994,57,370
995,55,368
996,55,368
997,55,977
998,51,372
999,57,370
1000,55,372
1001,53,372
1002,55,368
1003,55,378
1004,55,364
1005,55,473
1006,55,366
1007,53,697
1008,57,366
1009,57,366
1010,57,366
1011,57,366
1012,57,365
1013,59,365
1014,57,370
1015,55,371
1016,58,368
1017,55,966
1018,57,370
1019,59,368
1020,57,372
1021,55,372
1022,57,371
1023,56,366
1024,55,368
1025,57,366
1026,57,368
1027,57,1020
1028,51,368
1029,57,362
1030,55,370
1031,55,368
1032,55,368
1033,55,372
1034,54,369
1035,54,366
1036,57,370
1037,55,886
1038,55,372
1039,54,368
1040,55,364
1041,51,368
1042,55,368
1043,55,372
1044,53,366
1045,55,372
1046,55,368
1047,55,982
1048,55,369
1049,56,368
1050,57,368
1051,57,368
1052,55,368
1053,55,368
1054,55,366
1055,57,367
1056,58,361
1057,57,1071
1058,57,370
1059,55,368
1060,55,366
1061,53,368
1062,55,369
1063,56,368
1064,51,368
1065,55,364
1066,55,366
1067,55,1030
1068,53,366
1069,55,366
1070,55,372
1071,55,370
1072,57,369
1073,56,372
1074,54,368
1075,55,366
1076,57,370
1077,55,876
1078,53,366
1079,55,366
1080,51,370
1081,57,366
1082,55,368
1083,55,370
1084,57,372
1085,57,367
1086,55,371
1087,58,1063
1088,55,374
1089,55,370
1090,53,370
1091,53,368
1092,55,368
1093,55,366
1094,55,370
1095,57,370
1096,55,369
1097,56,1013
1098,57,370
1099,51,374
1100,55,368
1101,51,368
1102,53,368
1103,55,370
1104,55,368
1105,55,370
1106,55,371
1107,56,1045
1108,57,370
1109,57,368
1110,55,370
1111,57,368
1112,57,372
1113,57,370
1114,57,368
1115,55,370
1116,55,370
1117,59,372
1118,57,370
1119,57,366
1120,55,760
1121,55,372
1122,57,376
1123,57,369
1124,57,485
1125,55,374
1126,55,372
1127,57,368
1128,53,368
1129,57,368
1130,59,673
1131,57,362
1132,51,368
1133,57,419
1134,55,370
1135,55,374
1136,57,366
1137,55,384
1138,56,368
1139,54,364
1140,57,1071
1141,55,378
1142,58,370
1143,56,376
1144,57,367
1145,54,367
1146,59,365
1147,58,387
1148,55,368
1149,55,370
1150,55,841
1151,57,405
1152,55,368
1153,57,370
1154,55,368
1155,53,364
1156,55,368
1157,57,364
1158,57,364
1159,55,370
1160,57,677
1161,55,372
1162,57,372
1163,53,362
1164,55,372
1165,51,368
1166,55,370
1167,55,372
1168,57,368
1169,56,372
1170,59,936
1171,55,371
1172,57,368
1173,55,372
1174,55,370
1175,55,368
1176,55,370
1177,53,368
1178,55,370
1179,53,374
1180,55,986
1181,53,368
1182,53,368
1183,57,368
1184,57,366
1185,57,364
1186,54,368
1187,57,366
1188,54,368
1189,55,368
1190,53,923
1191,57,364
1192,59,364
1193,57,368
1194,57,370
1195,56,366
1196,55,366
1197,58,366
1198,56,370
1199,57,369
1200,57,991
1201,56,370
1202,57,373
1203,57,369
1204,55,372
1205,57,367
1206,55,370
1207,55,370
1208,55,368
1209,55,370
1210,53,969
1211,57,362
1212,57,362
1213,59,368
1214,55,368
1215,57,368
1216,55,370
1217,51,370
1218,55,364
1219,56,365
1220,52,915
1221,55,362
1222,53,368
1223,53,366
1224,55,368
1225,55,368
1226,53,370
1227,55,366
1228,55,366
1229,53,368
1230,55,935
1231,55,366
1232,55,368
1233,55,368
1234,53,368
1235,53,366
1236,57,364
1237,55,368
1238,59,364
1239,55,372
1240,55,984
1241,57,364
1242,57,370
1243,57,366
1244,55,368
1245,55,368
1246,54,370
1247,58,368
1248,58,366
1249,56,368
1250,54,994
1251,58,370
1252,56,366
1253,59,371
1254,55,368
1255,57,366
1256,55,368
1257,55,368
1258,55,372
1259,55,370
1260,57,933
1261,55,370
1262,55,368
1263,55,368
1264,51,366
1265,57,374
1266,57,370
1267,56,371
1268,57,369
1269,57,367
1270,55,965
1271,53,376
1272,57,370
1273,55,368
1274,51,380
1275,57,371
1276,57,367
1277,57,370
1278,57,368
1279,55,370
1280,55,963
1281,57,366
1282,57,372
1283,53,366
1284,57,409
1285,55,370
1286,53,370
1287,57,366
1288,55,368
1289,51,370
1290,57,862
1291,53,366
1292,55,366
1293,55,374
1294,53,370
1295,55,366
1296,55,370
1297,53,366
1298,59,364
1299,55,368
1300,51,972
1301,55,368
1302,57,364
1303,55,372
1304,57,364
1305,55,366
1306,55,370
1307,53,366
1308,53,370
1309,55,368
1310,51,980
1311,55,366
1312,55,370
1313,57,368
1314,57,366
1315,55,372
1316,57,366
1317,53,372
1318,57,368
1319,57,366
1320,55,915
1321,55,370
1322,55,366
1323,57,370
1324,55,366
1325,55,368
1326,55,366
1327,55,366
1328,57,364
1329,57,368
1330,53,933
1331,57,366
1332,55,368
1333,57,368
1334,55,368
1335,56,376
1336,57,367
1337,55,372
1338,57,368
1339,55,370
1340,57,988
1341,55,368
1342,55,374
1343,55,372
1344,55,374
1345,51,372
1346,51,368
1347,57,368
1348,59,366
1349,57,364
1350,55,976
1351,55,370
1352,53,370
1353,57,364
1354,51,368
1355,55,370
1356,51,368
1357,57,362
1358,57,364
1359,57,366
1360,55,868
1361,57,368
1362,59,366
1363,53,366
1364,53,364
1365,53,372
1366,56,369
1367,56,369
1368,55,367
1369,55,370
1370,57,949
1371,55,368
1372,57,364
1373,53,366
1374,55,368
1375,53,366
1376,55,370
1377,55,366
1378,55,370
1379,53,366
1380,57,988
1381,55,368
1382,55,372
1383,55,368
1384,57,366
1385,53,366
1386,57,368
1387,55,364
1388,57,362
1389,55,366
1390,59,898
1391,57,367
1392,57,367
1393,55,372
1394,57,368
1395,55,374
1396,57,366
1397,57,368
1398,55,368
1399,55,372
1400,55,990
1401,55,370
1402,53,368
1403,55,366
1404,53,368
1405,57,364
1406,55,372
1407,55,368
1408,57,370
1409,54,370
1410,56,972
1411,57,364
1412,57,366
1413,57,372
1414,55,372
1415,54,368
1416,58,370
1417,54,371
1418,55,370
1419,57,366
1420,55,1099
1421,55,366
1422,57,364
1423,55,370
1424,59,366
1425,57,405
1426,55,372
1427,53,372
1428,53,366
1429,55,366
1430,57,647
1431,55,370
1432,55,368
1433,57,368
1434,55,366
1435,57,370
1436,57,366
1437,57,366
1438,53,366
1439,55,366
1440,55,1303
1441,57,366
1442,59,370
1443,55,369
1444,59,367
1445,56,371
1446,56,369
1447,57,365
1448,56,366
1449,57,406
1450,55,677
1451,51,370
1452,55,366
1453,54,882
1454,58,370
1455,51,374
1456,55,372
1457,53,374
1458,53,372
1459,53,370
1460,53,366
1461,55,368
1462,57,366
1463,51,683
1464,57,362
1465,55,372
1466,59,366
1467,55,368
1468,53,366
1469,55,368
1470,57,364
1471,57,370
1472,57,367
1473,57,880
1474,53,369
1475,57,369
1476,58,365
1477,56,368
1478,55,368
1479,57,368
1480,53,366
1481,57,364
1482,53,368
1483,55,1051
1484,55,372
1485,57,368
1486,55,370
1487,57,368
1488,55,372
1489,57,369
1490,52,370
1491,57,366
1492,55,368
1493,55,1016
1494,53,364
1495,53,370
1496,53,366
1497,51,368
1498,57,368
1499,53,366
1500,57,365
1501,55,367
1502,56,368
1503,55,947
1504,58,372
1505,58,366
1506,55,370
1507,55,366
1508,53,368
1509,55,368
1510,55,368
1511,57,366
1512,55,370
1513,55,1067
1514,59,366
1515,59,368
1516,53,364
1517,51,370
1518,57,366
1519,55,370
1520,57,370
1521,55,366
1522,55,368
1523,55,938
1524,56,372
1525,57,366
1526,55,368
1527,57,364
1528,57,368
1529,57,366
1530,57,365
1531,51,368
1532,53,364
1533,55,1091
1534,53,372
1535,57,364
1536,57,366
1537,57,368
1538,55,368
1539,55,370
1540,57,367
1541,56,372
1542,53,366
1543,57,939
1544,57,374
1545,57,368
1546,55,368
1547,55,368
1548,57,366
1549,57,366
1550,55,368
1551,57,367
1552,55,371
1553,52,1071
1554,51,370
1555,53,368
1556,57,366
1557,55,368
1558,57,368
1559,57,366
1560,55,370
1561,53,370
1562,57,367
1563,56,1015
1564,54,368
1565,54,370
1566,56,370
1567,55,370
1568,55,405
1569,57,366
1570,57,418
1571,57,366
1572,57,364
1573,55,882
1574,55,368
1575,53,368
1576,57,368
1577,55,410
1578,58,366
1579,55,368
1580,57,364
1581,53,368
1582,55,368
1583,57,1026
1584,53,370
1585,57,364
1586,51,368
1587,55,368
1588,55,372
1589,57,364
1590,55,368
1591,57,372
1592,55,366
1593,55,918
1594,57,369
1595,56,372
1596,56,370
1597,57,362
1598,55,364
1599,53,368
1600,59,423
1601,57,364
1602,55,368
1603,55,922
1604,59,372
1605,59,362
1606,51,366
1607,57,364
1608,57,368
1609,57,364
1610,57,370
1611,53,369
1612,54,370
1613,57,1059
1614,57,368
1615,55,370
1616,57,371
1617,58,365
1618,59,368
1619,57,366
1620,57,366
1621,53,370
1622,57,366
1623,55,1028
1624,55,372
1625,57,368
1626,57,366
1627,57,365
1628,55,368
1629,53,372
1630,55,370
1631,57,367
1632,57,367
1633,56,931
1634,55,368
1635,57,368
1636,51,364
1637,55,370
1638,53,376
1639,53,368
1640,57,370
1641,57,368
1642,55,370
1643,55,1046
1644,55,372
1645,57,368
1646,55,372
1647,57,366
1648,57,366
1649,53,368
1650,53,368
1651,55,370
1652,55,370
1653,57,941
1654,55,366
1655,57,366
1656,53,368
1657,55,370
1658,57,364
1659,55,374
1660,55,368
1661,55,370
1662,53,372
1663,55,979
1664,53,368
1665,57,366
1666,53,370
1667,57,366
1668,55,366
1669,55,370
1670,53,369
1671,57,375
1672,56,368
1673,55,1071
1674,53,368
1675,57,370
1676,57,370
1677,55,367
1678,58,368
1679,55,366
1680,57,366
1681,55,368
1682,55,366
1683,57,953
1684,51,366
1685,55,366
1686,57,368
1687,57,364
1688,55,368
1689,57,367
1690,55,365
1691,54,370
1692,53,366
1693,55,1059
1694,57,370
1695,55,368
1696,57,368
1697,57,367
1698,56,369
1699,57,367
1700,57,369
1701,55,368
1702,57,369
1703,54,909
1704,55,366
1705,57,366
1706,57,366
1707,57,368
1708,57,366
1709,55,369
1710,54,367
1711,56,366
1712,55,376
1713,55,996
1714,57,364
1715,53,366
1716,57,366
1717,55,370
1718,57,366
1719,55,371
1720,57,369
1721,55,373
1722,55,369
1723,55,1046
1724,55,370
1725,55,368
1726,57,370
1727,57,368
1728,57,366
1729,55,370
1730,55,378
1731,55,374
1732,55,370
1733,57,947
1734,55,370
1735,57,368
1736,55,374
1737,55,368
1738,55,408
1739,55,370
1740,55,413
1741,57,368
1742,55,437
1743,57,884
1744,57,372
1745,57,368
1746,55,368
1747,55,368
1748,57,364
1749,55,368
1750,55,447
1751,57,366
1752,55,410
1753,57,931
1754,55,370
1755,57,368
1756,57,368
1757,55,366
1758,53,372
1759,53,368
1760,55,368
1761,55,366
1762,55,369
1763,55,965
1764,55,370
1765,55,368
1766,55,370
1767,55,367
1768,55,371
1769,56,371
1770,56,364
1771,55,368
1772,53,368
1773,57,1057
1774,57,371
1775,56,368
1776,51,368
1777,57,366
1778,55,368
1779,55,368
1780,55,370
1781,57,367
1782,55,368
1783,57,1037
1784,57,368
1785,57,370
1786,55,374
1787,55,369
1788,55,374
1789,55,369
1790,57,365
1791,54,368
1792,59,367
1793,57,368
1794,53,1185
1795,55,374
1796,55,370
1797,57,372
1798,56,376
1799,57,368
1800,55,368
1801,53,370
1802,55,372
1803,55,372
1804,55,722
1805,55,370
1806,59,369
1807,54,368
1808,58,368
1809,55,370
1810,57,366
1811,57,364
1812,57,368
1813,57,366
1814,57,1016
1815,53,372
1816,57,371
1817,58,362
1818,59,366
1819,55,366
1820,57,366
1821,55,368
1822,57,370
1823,56,369
1824,57,1047
